,ASPUS
1990-01-01,149500.0
1990-04-01,151200.0
1990-07-01,145500.0
1990-10-01,150100.0
1991-01-01,151100.0
1991-04-01,148200.0
1991-07-01,145400.0
1991-10-01,144400.0
1992-01-01,144500.0
1992-04-01,145300.0
1992-07-01,141700.0
1992-10-01,147200.0
1993-01-01,144700.0
1993-04-01,148900.0
1993-07-01,148000.0
1993-10-01,148300.0
1994-01-01,153600.0
1994-04-01,154200.0
1994-07-01,152800.0
1994-10-01,156100.0
1995-01-01,153500.0
1995-04-01,158900.0
1995-07-01,157700.0
1995-10-01,160900.0
1996-01-01,161100.0
1996-04-01,166000.0
1996-07-01,164000.0
1996-10-01,171000.0
1997-01-01,172200.0
1997-04-01,177200.0
1997-07-01,174700.0
1997-10-01,175400.0
1998-01-01,180000.0
1998-04-01,178800.0
1998-07-01,184300.0
1998-10-01,181500.0
1999-01-01,189100.0
1999-04-01,191800.0
1999-07-01,193000.0
1999-10-01,204800.0
2000-01-01,202900.0
2000-04-01,202400.0
2000-07-01,204100.0
2000-10-01,212100.0
2001-01-01,211000.0
2001-04-01,211200.0
2001-07-01,207800.0
2001-10-01,214200.0
2002-01-01,227600.0
2002-04-01,227600.0
2002-07-01,219100.0
2002-10-01,232500.0
2003-01-01,233100.0
2003-04-01,241000.0
2003-07-01,248100.0
2003-10-01,256000.0
2004-01-01,262900.0
2004-04-01,265300.0
2004-07-01,274000.0
2004-10-01,286300.0
2005-01-01,288500.0
2005-04-01,287800.0
2005-07-01,294600.0
2005-10-01,294200.0
2006-01-01,305300.0
2006-04-01,302600.0
2006-07-01,308100.0
2006-10-01,299600.0
2007-01-01,322100.0
2007-04-01,310100.0
2007-07-01,301200.0
2007-10-01,305800.0
2008-01-01,290400.0
2008-04-01,304200.0
2008-07-01,285100.0
2008-10-01,276600.0
2009-01-01,257000.0
2009-04-01,273400.0
2009-07-01,274100.0
2009-10-01,272900.0
2010-01-01,275300.0
2010-04-01,268800.0
2010-07-01,266000.0
2010-10-01,278000.0
2011-01-01,268100.0
2011-04-01,267600.0
2011-07-01,263000.0
2011-10-01,259700.0
2012-01-01,278000.0
2012-04-01,282700.0
2012-07-01,294500.0
2012-10-01,297700.0
2013-01-01,307400.0
2013-04-01,320400.0
2013-07-01,324400.0
2013-10-01,334400.0
2014-01-01,331400.0
2014-04-01,340600.0
2014-07-01,340400.0
2014-10-01,369400.0
2015-01-01,348000.0
2015-04-01,339700.0
2015-07-01,347400.0
2015-10-01,366700.0
2016-01-01,357000.0
2016-04-01,357900.0
2016-07-01,358800.0
2016-10-01,364900.0
2017-01-01,374800.0
2017-04-01,376900.0
2017-07-01,373200.0
2017-10-01,399700.0
2018-01-01,374600.0
2018-04-01,378400.0
2018-07-01,392900.0
2018-10-01,384000.0
2019-01-01,375500.0
2019-04-01,376700.0
2019-07-01,382700.0
2019-10-01,384600.0
2020-01-01,383000.0
2020-04-01,371100.0
2020-07-01,400600.0
2020-10-01,396900.0
2021-01-01,417400.0
2021-04-01,428600.0
2021-07-01,468000.0
2021-10-01,496700.0
2022-01-01,499300.0
2022-04-01,525100.0
2022-07-01,520300.0
2022-10-01,521000.0
2023-01-01,505300.0
2023-04-01,503000.0
2023-07-01,521900.0
2023-10-01,498300.0
2024-01-01,519700.0
2024-04-01,502200.0
2024-07-01,498700.0
2024-10-01,510900.0
2025-01-01,514200.0
2025-04-01,515200.0
2025-07-01,508100.0
2025-10-01,541300.0
2026-01-01,514600.0
